english,translated_value,english_manipulated,hu_LLM_instructions,hu_google,hu_google_cleaned,es_LLM_instructions,fr_LLM_instructions,de_LLM_instructions,jap_LLM_instructions,ar_LLM_instructions,hi_LLM_instructions,pt_LLM_instructions,bleu_score_google
BrokerChooser Awards [year],BrokerChooser Díjak [year],BrokerChooser Awards [*y*e*a*r*]*,BrokerChooser Awards [year],Brokerchooser díjak [*y*e*a*r*]*,Brokerchooser díjak [year],Premios BrokerSeleccioner [año],Prix BrokerChooser [année],BrokerChooper Awards [Jahr],(正し い 境 は ベオン に あ る .),جائزة [السنة],BrokerChooser Adrs [ वर्ष],Prêmios de Corretor [ano],11.362193664674995
Broker is not available in [countryTheName],A bróker nem elérhető [countryTheName],Broker is not available in [*c*o*u*n*t*r*y*T*h*e*N*a*m*e*]*,A bróker nem áll rendelkezésre [országTheName],A bróker nem érhető el a [*c*o*u*n*t*r*y*t*h*e*n*a*m*e*] -ben.,A bróker nem érhető el a [countrythename] -ben.,Broker no está disponible en [countryTheName],Le courtier n'est pas disponible dans [countryTheName],Broker ist nicht verfügbar in [countryTheName],"忍耐 は 寛容 で あ っ て , 分裂 い た もの で は な い .",غير متوفر في [القطرName],पटर में उपलब्ध नहीं है [Phoners],não está disponível em [countryTheName],13.74708101760565
Calculate stock trade commission at various brokers.,Számítsd ki a részvénykereskedési jutalékot különböző brókereknél.,Calculate stock trade commission at various brokers.,Számolja ki a különböző brókerek tőzsdei jutalékát.,Számítsa ki a részvénykereskedelmi bizottságot a különféle brókereknél.,Számítsa ki a részvénykereskedelmi bizottságot a különféle brókereknél.,Calcular comisión de bolsa en varios corredores.,Calculer la commission d'achat d'actions auprès de divers courtiers.,Berechnen Sie die Börsenprovision bei verschiedenen Maklern.,"酒 に 属 する 者 は , さまざま の 仕事 を し て , 運 ぶ 者 は , わ な と 言 う .",حساب لجنة تجارة الأوراق المالية في مختلف السماسرة.,विभिन्न दलालों पर स्टॉक व्यापार की गणना करें.,Calcule a comissão de negociação de ações em vários corretores.,6.500593260343692
Check out the best brokers in [country],Nézd meg a legjobb brókereket [country],Check out the best brokers in [*c*o*u*n*t*r*y*]*,Nézd meg a legjobb brókereket [ország],Nézze meg a legjobb brókereket a [*c*o*u*n*t*r*y*] -ben.,Nézze meg a legjobb brókereket a [country] -ben.,Echa un vistazo a los mejores corredores de [país],Découvrez les meilleurs courtiers dans [pays],Schauen Sie sich die besten Broker in [Land],"最も よ い な 住 む 者 の 最も 良 い 所 に お い て は ,",التحقق من أفضل السماسرة في [البلد],[P] में सबसे अच्छा दलाल की जाँच करें,Confira os melhores corretores em [país],36.55552228545123
Complete Find My Broker questionnaire,Töltsd ki a 'Find My Broker' kérdőívet,Complete Find My Broker questionnaire,Complete Find My Broker question,Töltse ki a bróker kérdőívemet,Töltse ki a bróker kérdőívemet,Complete Buscar mi cuestionario Broker,Remplir le questionnaire de mon courtier,Mein Broker-Fragebogen vollständig finden,"わたし の 歩み は どこ に あ る か を "" と .",ا_ لا يمكن إنشاء مكتب تيسيري,पूरा - पूरा पता लगाइए कि कौन - कौन - कौन - कौन - कौन - कौन - से सवाल पूछ रहे हैं,Encontrar meu corretor questionário,7.616306180370793
FX Fee Calculator,FX Díjkalkulátor,FX Fee Calculator,FX Fee Calculator,FX díjszámológép,FX díjszámológép,Calculadora de tasas FX,Calculateur de frais FX,FX-Gebührenrechner,"黒ナ の 飼い は ,  くれ る こと で あ る .",الدالة مُعَكِل FFX FX رسومة,FX FX फे गणक,Calculadora de taxa FX,14.95348781221221
Scam brokers to avoid,Kerülendő csaló brókerek,Scam brokers to avoid,"Scam brókerek, hogy elkerüljék:","Átverni a brókereket, hogy elkerüljék","Átverni a brókereket, hogy elkerüljék",brókers de estafa para evitar,Courtiers d'escroquerie à éviter,Scam Broker zu vermeiden,"忍耐 は 人 を 追 い 行 か せ る ,",سماسرة السماسرة إلى تجنب,Smakors से बचने के लिए,Corretores de fraude para evitar,0.0
[Broker name] [param name] fees are about half of the industry average.,[Broker name] [param name] díjai körülbelül a piaci átlag felét teszik ki.,[*B*r*o*k*e*r* n*a*m*e*]* [*p*a*r*a*m* n*a*m*e*]* fees are about half of the industry average.,[Broker név] [param név] [param név] díjak körülbelül fele az iparági átlag.,[*B*r*o*k*e*r*n*a*m*e*]*[*p*a*r*a*m*n*a*m*e*]*A díjak körülbelül feleaz iparág átlagának.,[Brokername][paramname]A díjak körülbelül feleaz iparág átlagának.,Las tarifas de [nombre del broker] [nombre del parm] son alrededor de la mitad del promedio de la industria.,Les frais [nom du vendeur] [nom du distributeur] représentent environ la moitié de la moyenne de l'industrie.,[Brokername] [Paramname] Gebühren sind etwa die Hälfte des Industriedurchschnitts.,"アビム の 名 は 太カム と い い , この 用 の あ る 半ば は 次 の とおり で あ る .",رسوم [اسم بروكر] [اسم مكافئ] هي حوالي نصف متوسط الصناعة.,[Balkal नाम] ऋण्स औसत उद्योग के लगभग आधे उद्योग हैं.,As taxas são cerca de metade da média da indústria.,1.501861529550426
[firstBrokerName] vs [secondBrokerName] compared,[firstBrokerName] vs [secondBrokerName] összehasonlítva,[*f*i*r*s*t*B*r*o*k*e*r*N*a*m*e*]* vs [*s*e*c*o*n*d*B*r*o*k*e*r*N*a*m*e*]* compared,[firstBrokerName] vs [secondBrokerName] összehasonlítása,[*f*i*r*s*t*b*r*o*k*e*r*n*a*m*e*]*vs [*s*e*c*o*n*d*b*r*o*k*e*r*n*a*m*e*]*összehasonlítva,[firstbrokername]vs [secondbrokername]összehasonlítva,[firstBrokerName] vs [secondBrokerName] comparado,[firstBrokerName] vs [secondBrokerName] comparés,[firstBrokerName] gegen [secondBrokerName] verglichen,"あなた は 巣 を こと に し て も , 巣 を こと の よう に する .",[الأول بروكر Name] vs [ثاني ثايث بروكر Name] مُقارن,[यूबेकर] vs [दूसरे गकर की तुलना में],[firstBrokerName] vs [segundoBrokerName] comparado,0.0
[number] available broker in [countryName],[number] elérhető bróker [countryName] területén,[*n*u*m*b*e*r*]* available broker in [*c*o*u*n*t*r*y*N*a*m*e*]*,[szám] [szám] elérhető bróker [országnév],[*n*u*m*b*e*r*]*Elérhető bróker [*c*o*u*n*t*r*y*n*a*m*e*]**,[number]Elérhető bróker [countryname],[número] bróker disponible en [país],[nombre] courtier disponible dans [nom du pays],[Anzahl] verfügbarer Broker in [Ländername],メセク と 尊 い 人々 が の 中 に あ る . すなわち メセク と い う 者 が あ る .,[الرقم] السمسار المتاح في [البلد],[संख्या],[número] broker disponível em [paísName],5.833544737207805
[number] people picked this broker at BrokerChooser in the last 6 months,[number] ember választotta ezt a brókert a BrokerChooser-nél az elmúlt 6 hónapban,[*n*u*m*b*e*r*]* people picked this broker at BrokerChooser in the last 6 months,[szám] [szám] emberek választották ezt a brókert a BrokerChooser-nél az elmúlt 6 hónapban,[*n*u*m*b*e*r*]*Az emberek ezt a brókert választották a BrokerChoosernél az elmúlt 6 hónapban,[number]Az emberek ezt a brókert választották a BrokerChoosernél az elmúlt 6 hónapban,[número] la gente eligió a este broker en BrokerSeleccioner en los últimos 6 meses,[nombre] personnes ont choisi ce courtier chez BrokerChooser au cours des 6 derniers mois,Die Leute haben diesen Broker bei BrokerChooper in den letzten 6 Monaten ausgewählt.,"そして この 民 は 最初 の 人々 を 打ち破 っ て , 終り の 月 に 最初 の 月 に わた っ て 行 っ た .",[العدد] الناس اختاروا هذا السمسار في بروكر تشوسر في الأشهر الستة الماضية,[संख्या] लोगों ने पिछले 6 महीनों में BrokerChooser पर इस दलाल उठाया,[número] pessoas escolheram este corretor na BrokerChooker nos últimos 6 meses,31.7023313852343
[param name] fees are calculated as follows: [param description],[param name] díjai a következőképpen vannak kiszámítva: [param description],[*p*a*r*a*m* n*a*m*e*]* fees are calculated as follows: [*p*a*r*a*m* d*e*s*c*r*i*p*t*i*o*n*]*,[param név] [param név] díjak kiszámítása a következőképpen történik: [param leírás],[*p*a*r*a*m*n*a*m*e*]*A díjakat a következőképpen számolják:i*p*t*i*o*n*]*,[paramname]A díjakat a következőképpen számolják:iption],[nombre del párrafo] los honorarios se calculan de la siguiente manera: [descripción del párrafo],Les taxes [nom du param] sont calculées comme suit : [Description du param],[Param Name] Gebühren werden wie folgt berechnet: [Param Beschreibung],"ボヅカデ の 名 は  食べ られ た  gathered の よう で , その 腰 に は  食べ る こと が でき ま す .",تُحسب الرسوم على النحو التالي: [وصف الفقرة],[मुर्गा नाम] ऋण्स की गणना ऐसे की जाती है: [पार्य वर्णन],As taxas [nome do param] são calculadas da seguinte forma: [descrição do param],5.105362709447673
[popularity] people chose this broker,[popularity] ember választotta ezt a brókert,[*p*o*p*u*l*a*r*i*t*y*]* people chose this broker,[népszerűség] [népszerűség] Az emberek ezt a brókert választották,[*p*o*p*u*l*a*r*i*t*y*]*Az emberek ezt a brókert választották,[popularity]Az emberek ezt a brókert választották,[Popularidad] la gente eligió a este corredor,Les gens ont choisi ce courtier.,Die Leute haben diesen Broker gewählt.,"すなわち この 民 の 最も 良 い 所 を 選 ん で ,",الناس اختاروا هذا السمسار,[पुलिसता] लोगों ने इस दलाल को चुना है,[popularidade] as pessoas escolheram este corretor,20.205155046766237
